url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Theme,Period
https://www.wikiart.org/en/gyula-kosice/hydrospatial-cities-2009,2009,,Kinetic Art,https://uploads8.wikiart.org/images/gyula-kosice/hydrospatial-cities-2009.jpg!Large.jpg,installation,Ceiling|Lighting|Sky,2009,,,,,
https://www.wikiart.org/en/ernest-hebert/male-academy,,,Academicism,https://uploads6.wikiart.org/00326/images/ernest-hebert/h-bert-acad-mie-d-homme.jpg!Large.jpg,sketch and study|nude painting (nu),male-nude,,,,,Other works,
https://www.wikiart.org/en/theophile-steinlen/nuit-mysterieuse-1889,1889,,Art Nouveau (Modern),https://uploads1.wikiart.org/images/theophile-steinlen/nuit-mysterieuse-1889.jpg,poster,Text|Botany|Plant,1889,,,,,
https://www.wikiart.org/en/alexander-orlowski/self-portrait-in-a-suit-of-a-caucasian-warrior,,,Romanticism,https://uploads0.wikiart.org/images/alexander-orlowski/self-portrait-in-a-suit-of-a-caucasian-warrior.jpg!Large.jpg,self-portrait,male-portraits|famous-people,,,,,,
https://www.wikiart.org/en/valentin-serov/portrait-of-emperor-nicholas-ii-1900,1900,,Impressionism,https://uploads4.wikiart.org/images/valentin-serov/portrait-of-emperor-nicholas-ii-1900.jpg!Large.jpg,portrait,male-portraits|famous-people,1900,,,,,
https://www.wikiart.org/en/silvestro-lega/peasant-woman-at-rest-1890,1890,,Realism,https://uploads2.wikiart.org/00361/images/silvestro-lega/lega-contadina-a-riposo.jpg!Large.jpg,genre painting,,1890,panel|oil,Private Collection,,,
https://www.wikiart.org/en/karl-knaths/untitled-1940,1940,,Cubism,https://uploads5.wikiart.org/images/karl-knaths/untitled-1940.jpg!Large.jpg,abstract,,1940,,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/bust-of-a-young-woman-1904,1904,,Impressionism,https://uploads1.wikiart.org/images/pierre-auguste-renoir/bust-of-a-young-woman-1904.jpg!Large.jpg,portrait,Hair|Face|Lady|Hairstyle|Chin|Cheek|Lip,1904,oil|canvas,Private Collection,,,Later Years
https://www.wikiart.org/en/paul-jacoulet/vieillad-au-chapelet-kawadzu-1940,1940,,Ukiyo-e,https://uploads8.wikiart.org/images/paul-jacoulet/vieillad-au-chapelet-kawadzu-1940.jpg,portrait,,1940,,,,,
https://www.wikiart.org/en/william-saroyan/4-march-29-1963-nyc-1963,1963,,Abstract Expressionism,https://uploads3.wikiart.org/00288/images/william-saroyan/4-march-29-1963-nyc.jpeg!Large.jpeg,abstract,Font,1963,,,,,
