url,Create Date,Create Location,Date,image_url,Style,Series,Genre,tags,Media,Location,Theme,Period
https://www.wikiart.org/en/edgar-degas/harlequin-and-colombina-1886,1886,,1886,https://uploads2.wikiart.org/images/edgar-degas/harlequin-and-colombina-1886.jpg!Large.jpg,Impressionism,,genre painting,1880s paintings from France,,,,
https://www.wikiart.org/en/banksy/parachuting-rat-2003,2003,Melbourne,"2003; Melbourne, Australia|Melbourne|2003",https://uploads6.wikiart.org/images/banksy/parachuting-rat-2003.jpg,Street art,,graffiti,,spray paint|stencil,,,
https://www.wikiart.org/en/adrian-ghenie/ghenie3lo,,,,https://uploads1.wikiart.org/00227/images/adrian-ghenie/ghenie3lo.jpg!Large.jpg,Neo-Expressionism,,figurative,Pink,,,,
https://www.wikiart.org/en/pierre-alechinsky/with-two-brushes-a-deux-pinceaux-1978,1978,,1978,https://uploads7.wikiart.org/images/pierre-alechinsky/with-two-brushes-a-deux-pinceaux-1978.jpg,Expressionism,,figurative,,,,,
https://www.wikiart.org/en/dolfi-trost/angoisse-cosmique-1952,1952,,1952,https://uploads5.wikiart.org/images/dolfi-trost/angoisse-cosmique-1952.jpg!Large.jpg,Surrealism,,abstract,,,,,
https://www.wikiart.org/en/gego/untitled-1980,1980,,1980,https://uploads6.wikiart.org/images/gego/untitled-1980.jpg,Op Art|Post-Minimalism,,abstract,Line,,,,
https://www.wikiart.org/en/kateryna-bilokur/garden-flowers-1952,1952,,1952,https://uploads7.wikiart.org/images/kateryna-bilokur/garden-flowers-1952.jpg!Large.jpg,Naïve Art (Primitivism),,flower painting,flowers-and-plants|Flower|Botany|Floral design|Plant|Textile,,,,
https://www.wikiart.org/en/grace-cossington-smith/the-bridge-in-curve-1930,1930,,1930,https://uploads8.wikiart.org/images/grace-cossington-smith/the-bridge-in-curve-1930.jpg,Post-Impressionism|Cubism,,cityscape,Bridge,tempera|cardboard,"National Gallery of Australia (NGA), Canberra, Australia",,
https://www.wikiart.org/en/roger-weik/number-843-2007,2007,Los Angeles,"2007|Los Angeles|2007; Los Angeles, United States",https://uploads6.wikiart.org/images/roger-weik/number-843-2007.jpg!Large.jpg,Abstract Expressionism,,abstract,Rock|Geology,,,,
https://www.wikiart.org/en/eugene-delacroix/christ-on-the-cross-1853,1853,,1853,https://uploads5.wikiart.org/images/eugene-delacroix/christ-on-the-cross-1853(1).jpg,Romanticism,,religious painting,Christianity|saints-and-apostles|Jesus-Christ|Crucifixion|Religious item|Crucifix|Cross,oil|canvas,,,
https://www.wikiart.org/en/andre-derain/portrait-of-francesco-iturrino-1914,1914,,1914,https://uploads1.wikiart.org/images/andre-derain/portrait-of-francesco-iturrino-1914.jpg!Large.jpg,Expressionism,,portrait,male-portraits|Gentleman,oil|canvas,Private Collection,,
https://www.wikiart.org/en/viktor-shatalin/grandpa-martyn-1969,1969,,1969,https://uploads3.wikiart.org/00125/images/viktor-shatalin/grandpa-martyn-1969.jpg,Socialist Realism,,portrait,,,,,
https://www.wikiart.org/en/john-french-sloan/young-woman-in-black-and-white-mary-kerr-1902,1902,,1902,https://uploads7.wikiart.org/images/john-french-sloan/young-woman-in-black-and-white-mary-kerr-1902.jpg!Large.jpg,New Realism,,portrait,female-portraits|Gentleman,oil|canvas,Private Collection,,
https://www.wikiart.org/en/claude-monet/fields-of-tulip-with-the-rijnsburg-windmill,1886,,1886,https://uploads0.wikiart.org/images/claude-monet/fields-of-tulip-with-the-rijnsburg-windmill.jpg!Large.jpg,Impressionism,,landscape,Windmill|Mill|Sky,,,,
https://www.wikiart.org/en/lita-albuquerque/stellar-axis-antarctica-2006,2006,,2006,https://uploads6.wikiart.org/images/lita-albuquerque/stellar-axis-antarctica-2006.jpg,Post-Minimalism,,installation,Sky|Daytime|Cloud|Games|Horizon|Calm,,,,
https://www.wikiart.org/en/jack-tworkov/untitled-1955,1955,,1955,https://uploads5.wikiart.org/images/jack-tworkov/untitled-1955.jpg,Abstract Expressionism,,abstract,Line|Sketch,,,,
https://www.wikiart.org/en/george-stefanescu/saint-george-and-the-dragon-2001,2001,Lüdinghausen,"Lüdinghausen|2001; Lüdinghausen, Germany|2001",https://uploads1.wikiart.org/images/george-stefanescu-ramnic/saint-george-and-the-dragon-2001.jpg!Large.jpg,Abstract Expressionism,,religious painting,saints-and-apostles|knights-and-warriors|horses|beasts-and-dragons|magic-and-mistery|St.-George|horsemen|religious-items|rituals-and-traditions,gouache|paper,,,
