url,Create Date,Create Location,image_url,Date,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/vincent-van-gogh/female-nude-standing-1886,1886,Paris,https://uploads7.wikiart.org/images/vincent-van-gogh/female-nude-standing-1886(1).jpg!Large.jpg,"1886; Paris, France|1886|Paris",Post-Impressionism,nude painting (nu),chalk|paper,female-nude|Figure drawing|Sketch|Joint|Shoulder|Human body,"Van Gogh Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/giuseppe-penone/breath-5-1978,1978,,https://uploads7.wikiart.org/00220/images/giuseppe-penone/breath-5-1978.jpg!Large.jpg,1978,Art Informel,sculpture,,Ceramic,,,,
https://www.wikiart.org/en/jarnefelt-eero/lekande-barn-1895,1895,,https://uploads1.wikiart.org/00222/images/jarnefelt-eero/eero-j-rnefelt-leikkivi-lapsia-1895.jpg!Large.jpg,1895,Realism|Art Nouveau (Modern),nude painting (nu)|genre painting,tempera,,,,,
https://www.wikiart.org/en/paul-signac/saint-briac-courtyard-of-the-ville-hue-1885,1885,,https://uploads8.wikiart.org/images/paul-signac/saint-briac-courtyard-of-the-ville-hue-1885.jpg!Large.jpg,1885,Impressionism|Neo-Impressionism,landscape,canvas|oil,countryside|cottages-and-farmhouses,Private Collection,,,
https://www.wikiart.org/en/carmen-delaco/dogs-ii-2007,2007,,https://uploads5.wikiart.org/00284/images/carmen-delaco/dogs-ii.jpg!Large.jpg,2007|2007; Spain,Figurative Expressionism|Neo-Figurative Art,animal painting|figurative,acrylic|oil,dogs|animals|fightings,,,,
https://www.wikiart.org/en/georges-seurat/a-river-bank-the-seine-at-asnieres-1883,1883,,https://uploads7.wikiart.org/images/georges-seurat/a-river-bank-the-seine-at-asnieres-1883.jpg!Large.jpg,1883; France|1883,Impressionism,landscape,wood|oil,rivers-and-waterfalls|forests-and-trees|Tree,"National Gallery, London, UK",,,
https://www.wikiart.org/en/iain-baxter/still-life-with-6-trucks-highway-1-saskatchewan-1968,1968,,https://uploads7.wikiart.org/images/iain-baxter/still-life-with-6-trucks-highway-1-saskatchewan-1968.jpg,1968,Conceptual Art,photo,,Sky|Transport|Cloud,,,,
https://www.wikiart.org/en/elizabeth-thompson/roll-call-1874,1874,,https://uploads4.wikiart.org/images/elizabeth-thompson/roll-call-1874.jpg!Large.jpg,1874,Social Realism|Romanticism,battle painting,,People|Troop|Military|Army|Military organization|Military uniform|Soldier|Infantry|Uniform,,,,
https://www.wikiart.org/en/eugene-delacroix/jacob-s-fight-with-the-angel-1861,1861,,https://uploads6.wikiart.org/images/eugene-delacroix/jacob-s-fight-with-the-angel-1861(1).jpg!Large.jpg,1861,Romanticism,religious painting,oil,Christianity|Jacob-Wrestling-with-the-Angel|angels-and-archangels|Tree,"Saint-Sulpice, Paris, France",,,
https://www.wikiart.org/en/william-orpen/portrait-of-captain-wood-of-the-royal-inniskilling-fusiliers-1919,1919,,https://uploads5.wikiart.org/images/william-orpen/portrait-of-captain-wood-of-the-royal-inniskilling-fusiliers-1919.jpg!Large.jpg,1919,Post-Impressionism,portrait,,Military officer|Military person,,,,
https://www.wikiart.org/en/rebecca-horn/keeping-those-legs-from-touching-each-other-1975,1975,,https://uploads4.wikiart.org/images/rebecca-horn/keeping-those-legs-from-touching-each-other-1975.jpg,1975,Conceptual Art|Feminist Art,design,,,,,,
https://www.wikiart.org/en/cy-twombly/cold-stream,1966,,https://uploads2.wikiart.org/images/cy-twombly/cold-stream.jpg!Large.jpg,1966,Abstract Expressionism,abstract,,Pattern,,,,
