url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Location,Media,Series,Period,Theme
https://www.wikiart.org/en/louis-comfort-tiffany/peacock-1905,1905,,1905,https://uploads5.wikiart.org/images/louis-comfort-tiffany/peacock-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Lighting accessory|Lampshade|Lamp|Nightlight|Light fixture,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/table-lamp-1905,1905,,1905,https://uploads8.wikiart.org/images/louis-comfort-tiffany/table-lamp-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Lamp|Lampshade|Lighting accessory|Nightlight|Lighting|Light fixture|Window,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/window-with-sunrise-in-the-forest-in-spring-1905-1,1905,,1905,https://uploads7.wikiart.org/images/louis-comfort-tiffany/window-with-sunrise-in-the-forest-in-spring-1905-1.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Tree|Arch|Place of worship,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/window-with-autumn-sunset-in-the-forest-1905,1905,,1905,https://uploads1.wikiart.org/images/louis-comfort-tiffany/window-with-autumn-sunset-in-the-forest-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Tree|Arch,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/window-with-sunrise-in-the-forest-in-spring-1905,1905,,1905,https://uploads5.wikiart.org/images/louis-comfort-tiffany/window-with-sunrise-in-the-forest-in-spring-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Tree|Arch|Place of worship,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-with-sunrise-in-the-forest-in-spring-and-autumn-sunset-1905,1905,,1905,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-with-sunrise-in-the-forest-in-spring-and-autumn-sunset-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Window,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/a-wooded-landscape-in-three-panels-1905,1905,,1905,https://uploads5.wikiart.org/images/louis-comfort-tiffany/a-wooded-landscape-in-three-panels-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Tree|Nature|Vegetation|Branch|Leaf|Window|Woody plant|Biome|Plant|Temperate broadleaf and mixed forest,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/hanging-globe-1905,1905,,1905,https://uploads1.wikiart.org/images/louis-comfort-tiffany/hanging-globe-1905.jpg,Art Nouveau (Modern),design,Vase|Urn,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/turtleback-dome-shade-1905,1905,,1905,https://uploads0.wikiart.org/images/louis-comfort-tiffany/turtleback-dome-shade-1905.jpg,Art Nouveau (Modern),design,Light fixture|Lighting|Ceiling fixture,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/library-lamp-lotus-pagoda-design-1905,1905,,1905,https://uploads2.wikiart.org/images/louis-comfort-tiffany/library-lamp-lotus-pagoda-design-1905.jpg,Art Nouveau (Modern),design,Lampshade|Lighting accessory|Lamp|Light fixture|Lighting|Shade|Window,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/armchair-1905,1905,,1905,https://uploads6.wikiart.org/images/louis-comfort-tiffany/armchair-1905.jpg!Large.jpg,Art Nouveau (Modern),design|furniture,Chair|Furniture,,,Tiffany furniture,,
https://www.wikiart.org/en/louis-comfort-tiffany/table-mirror-1905,1905,,1905,https://uploads1.wikiart.org/images/louis-comfort-tiffany/table-mirror-1905.jpg!Large.jpg,Art Nouveau (Modern),design|furniture,Mirror,,,Tiffany furniture,,
https://www.wikiart.org/en/louis-comfort-tiffany/table-1905,1905,,1905,https://uploads2.wikiart.org/images/louis-comfort-tiffany/table-1905.jpg,Art Nouveau (Modern),design|furniture,Furniture|Table|Coffee table|Wood stain|Stool,,,Tiffany furniture,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1905,1905,,1905,https://uploads2.wikiart.org/images/louis-comfort-tiffany/vase-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Raw milk|Milk|Soy milk|Dairy|Lactose|Almond milk|Drink|Grain milk|Hemp milk|Food,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1905-1,1905,,1905,https://uploads3.wikiart.org/images/louis-comfort-tiffany/vase-1905-1.jpg,Art Nouveau (Modern),design,Vase|Ceramic|Pottery,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/pitcher-corn-design-1905,1905,,1905,https://uploads8.wikiart.org/images/louis-comfort-tiffany/pitcher-corn-design-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Vase|Serveware|Jug|Ceramic|Pottery|Pitcher,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/dome-hanging-shade-1905,1905,,1905,https://uploads6.wikiart.org/images/louis-comfort-tiffany/dome-hanging-shade-1905.jpg,Art Nouveau (Modern),design,Ceiling|Lighting|Ceiling fixture,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/door-panels-1905,1905,,1905,https://uploads8.wikiart.org/images/louis-comfort-tiffany/door-panels-1905.jpg,Art Nouveau (Modern),design,Tree|Window|Leaf|Plant,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/transom-1905,1905,,1905,https://uploads4.wikiart.org/images/louis-comfort-tiffany/transom-1905.jpg,Art Nouveau (Modern),design,Organism|Macaw|Window,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/loving-cup-1905,1905,,1905,https://uploads8.wikiart.org/images/louis-comfort-tiffany/loving-cup-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Serveware|Ceramic|Tableware|Pottery|Vase|Cup|Drinkware,,,Tiffany glass,,
