url,Create Date,Create Location,Date,image_url,Style,Genre,Location,tags,Media,Series,Period,Theme
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-581,,,,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-64.jpg!Large.jpg,Surrealism,symbolic painting,,allegories-and-symbols|monuments-and-statues,,,,
https://www.wikiart.org/en/alfred-sisley/church-at-moret-after-the-rain-1894,1894,,1894,https://uploads2.wikiart.org/images/alfred-sisley/church-at-moret-after-the-rain-1894.jpg!Large.jpg,Impressionism,cityscape,"Detroit Institute of Arts, Detroit, MI, US",Medieval architecture|Building,oil|canvas,,,
https://www.wikiart.org/en/konstantin-yuon/the-market-near-troitse-sergiyev-monastery,,,,https://uploads2.wikiart.org/images/konstantin-yuon/the-market-near-troitse-sergiyev-monastery.jpg!Large.jpg,Post-Impressionism,genre painting,,markets-and-shops,wash|watercolor|cardboard,,,
https://www.wikiart.org/en/ancient-egyptian-painting/mummy-of-irtirutja--250,250 BC,,250 BC,https://uploads6.wikiart.org/00244/images/ancient-egyptian-painting/mummy-of-irtirutja.jpg!Large.jpg,Ptolemaic,symbolic painting|portrait,"Metropolitan Museum of Art (Met), New York City, NY, US",Carving,,,,
https://www.wikiart.org/en/aleksey-savrasov/forest-in-the-frost,1890,,1890,https://uploads7.wikiart.org/images/aleksey-savrasov/forest-in-the-frost.jpg!Large.jpg,Realism,landscape,,forests-and-trees|Tree|Sky|winter,,,,
https://www.wikiart.org/en/utagawa-kuniyoshi/women-7,,,,https://uploads5.wikiart.org/images/utagawa-kuniyoshi/women-7.jpg!Large.jpg,Ukiyo-e,portrait,,female-portraits|Textile,,,,
https://www.wikiart.org/en/lech-twardowski/puro-tracks-of-memory-2009,2009,,2009,https://uploads5.wikiart.org/00152/images/lech-twardowski/img-9002.JPG!Large.JPG,Contemporary,installation,,Room,mixed media,,,
https://www.wikiart.org/en/gustave-singier/vall-e-nuit-1958,1958,,1958,https://uploads2.wikiart.org/images/gustave-singier/vall-e-nuit-1958.jpg,Lyrical Abstraction,abstract,,,,,,
https://www.wikiart.org/en/mario-nigro/pannello-a-scacchi-1950,1950,,1950,https://uploads6.wikiart.org/images/mario-nigro/pannello-a-scacchi-1950.jpg!Large.jpg,Op Art,abstract,,Line,,,,
https://www.wikiart.org/en/simon-stalenhag/tales-from-the-loop-2014-6,2014,,2014,https://uploads8.wikiart.org/00323/images/simon-stolenkhag/tales-from-the-loop-14.jpg!Large.jpg,Digital Art,illustration,,,,Tales from the loop,,
https://www.wikiart.org/en/honore-daumier/bathers,,,,https://uploads2.wikiart.org/images/honore-daumier/bathers.jpg!Large.jpg,Realism,genre painting,,group-portraits|bathing-and-swimming,,,,
