url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Period,Media,Theme,Location,Series
https://www.wikiart.org/en/rembrandt-peale/michael-angelo-and-emma-clara-peale,1826,,https://uploads6.wikiart.org/00268/images/rembrandt-peale/michael-angelo-and-emma-clara-peale.jpg!Large.jpg,1826,Neoclassicism,portrait,family-portraits,,oil|canvas,,"Metropolitan Museum of Art (Met), New York City, NY, US",
https://www.wikiart.org/en/edouard-manet/women-at-the-races-1865,1865,Paris,https://uploads8.wikiart.org/images/edouard-manet/women-at-the-races-1865.jpg!Large.jpg,"1865|Paris|1865; Paris, France",Impressionism,genre painting,walking|costume design,,oil|canvas,,"Cincinnati Art Museum, Cincinnati, OH, US",
https://www.wikiart.org/en/salvador-dali/the-discovery-of-america-by-christopher-columbus-1959,1959,,https://uploads2.wikiart.org/images/salvador-dali/the-discovery-of-america-by-christopher-columbus-1959.jpg!Large.jpg,1959,Surrealism,history painting,,Classic Period (1941-1989),oil|canvas,,"Salvador Dali Museum, St. Petersburg, FL, US",
https://www.wikiart.org/en/pierre-auguste-renoir/house-at-cagnes,,,https://uploads8.wikiart.org/images/pierre-auguste-renoir/house-at-cagnes.jpg!Large.jpg,,Impressionism,cityscape,,,oil|canvas,,Private Collection,
https://www.wikiart.org/en/james-mcneill-whistler/rose-et-argent-la-jolie-mutine,1890,,https://uploads6.wikiart.org/images/james-mcneill-whistler/rose-et-argent-la-jolie-mutine.jpg!Large.jpg,1890,Impressionism,portrait,female-portraits|Lady,,oil|canvas,,,
https://www.wikiart.org/en/jules-perahim/l-alphabet-5-gimel,,,https://uploads3.wikiart.org/images/jules-perahim/l-alphabet-5-gimel.jpg!Large.jpg,,Surrealism,figurative,,,,,,
https://www.wikiart.org/en/richard-hambleton/shadowman-34-e-12th-street-1982,1982,,https://uploads1.wikiart.org/images/richard-hambleton/shadowman-34-e-12th-street-1982.jpg,1982,Street art,graffiti,Mask|Standing|Gas mask|Snapshot|Gentleman|Personal protective equipment|Headgear|monochrome,,,,,
https://www.wikiart.org/en/sergiy-grigoriev/merry-spectators-1984,1984,,https://uploads7.wikiart.org/00124/images/sergiy-grigoriev/merry-spectators-1984.jpg!Large.jpg,1984,Impressionism,genre painting,,,oil|canvas,,,
https://www.wikiart.org/en/elmer-bischoff/59-1981,1981,,https://uploads1.wikiart.org/images/elmer-bischoff/59-1981.jpg,1981,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/ohara-koson/three-tree-sparrows-in-a-rain-shower,,,https://uploads1.wikiart.org/images/ohara-koson/three-tree-sparrows-in-a-rain-shower.jpg!Large.jpg,,Shin-hanga,wildlife painting,birds|sparrows|Bird|Sparrow|Finch|House sparrow,,paper,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-582,,,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-62.jpg!Large.jpg,,Surrealism,symbolic painting,allegories-and-symbols|military-and-soldiers,,,,,
https://www.wikiart.org/en/donald-judd/untitled-1958,1958,,https://uploads4.wikiart.org/00336/images/donald-judd/untitled-1958.jpg!Large.jpg,1958,Color Field Painting,abstract,,,,,,
