url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Period,Media,Location,Theme,Series
https://www.wikiart.org/en/george-stefanescu/prayer-1999,1999,Lüdinghausen,"Lüdinghausen|1999|1999; Lüdinghausen, Germany",https://uploads7.wikiart.org/images/george-stefanescu-ramnic/prayer-1999.jpg!Large.jpg,Abstract Expressionism,abstract,sun-and-moon|countryside|magic-and-mistery|prayers|fantastic-cities|Font,,canvas|oil,,,
https://www.wikiart.org/en/oleg-holosiy/6-elefants-1991,1991,,1991,https://uploads3.wikiart.org/00320/images/oleg-holosiy/1-3.jpg!Large.jpg,Transavantgarde|Naïve Art (Primitivism),figurative,Space,,,,checkered floor,
https://www.wikiart.org/en/pablo-picasso/painter-and-his-model-1963-1,1963,,1963,https://uploads4.wikiart.org/images/pablo-picasso/painter-and-his-model-1963-1.jpg!Large.jpg,Cubism|Naïve Art (Primitivism),genre painting,arts-and-crafts|female-nude|artists-and-models,Later Years,,,,
https://www.wikiart.org/en/mikhail-nesterov/portrait-of-leo-tolstoy-1907,1907,,1907,https://uploads7.wikiart.org/images/mikhail-nesterov/portrait-of-leo-tolstoy-1907.jpg!Large.jpg,Post-Impressionism,portrait,male-portraits|famous-people|Leo-Tolstoy|Gentleman,,canvas|oil,,,
https://www.wikiart.org/en/george-inness/albano-italy-the-roman-campagna-1874,1874,,1874,https://uploads2.wikiart.org/images/george-inness/albano-italy-the-roman-campagna-1874.jpg,Tonalism,landscape,Natural landscape|Hill|Fell|Ecoregion|Prairie|Grassland|Pasture|Rural area,,,,,
https://www.wikiart.org/en/mark-rothko/united-blue-yellow-green-on-red-1954,1954,,1954,https://uploads1.wikiart.org/images/mark-rothko/united-blue-yellow-green-on-red-1954.jpg!Large.jpg,Color Field Painting,abstract,Orange,,oil,"Whitney Museum of American Art, New York City, NY, US",,
https://www.wikiart.org/en/tove-jansson/illustration-for-the-book-comet-in-moominland-1946,1946,,1946,https://uploads6.wikiart.org/00334/images/tove-jansson/illustration-for-the-book-comet-in-moominland-1946.jpg!Large.jpg,Expressionism,illustration,,,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/silver-poplar-trees-1919,1919,,1919,https://uploads4.wikiart.org/images/pyotr-konchalovsky/silver-poplar-trees-1919.jpg,Post-Impressionism,landscape,forests-and-trees|Tree|Woody plant|Plant|Branch|Forest|Woodland|Trunk,,,,,
https://www.wikiart.org/en/hans-hofmann/golden-splendor-1957,1957,,1957,https://uploads4.wikiart.org/images/hans-hofmann/golden-splendor-1957.jpg!Large.jpg,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/bela-czobel/czobel-bela-grafika-0,,,,https://uploads8.wikiart.org/00387/images/bela-czobel/cz-bel-b-la-grafika-1.JPG!Large.JPG,,,,,,,,
https://www.wikiart.org/en/jeff-koons/violet-ice-kama-sutra,1991,,1991,https://uploads3.wikiart.org/images/jeff-koons/violet-ice-kama-sutra.jpg!Large.jpg,Neo-Pop Art,sculpture,,,,,,
https://www.wikiart.org/en/helene-schjerfbeck/the-teacher-1933,1933,,1933,https://uploads5.wikiart.org/images/helene-schjerfbeck/the-teacher-1933.jpg,Expressionism,portrait,Lady|Nose|Cheek|Forehead,,,,,
https://www.wikiart.org/en/richard-whitney/dr-j-william-littler,,,,https://uploads7.wikiart.org/images/richard-whitney/dr-j-william-littler.jpg!Large.jpg,Contemporary Realism,portrait,male-portraits|famous-people|Gentleman,,canvas|oil,Private Collection,,
https://www.wikiart.org/en/samuel-peploe/still-life-with-roses-in-a-chinese-vase-1927,1927,,1927,https://uploads2.wikiart.org/images/samuel-peploe/still-life-with-roses-in-a-chinese-vase-1927.jpg!Large.jpg,Post-Impressionism,flower painting,Still life photography|Vase|Flowerpot|Flower,,,,,
https://www.wikiart.org/en/mstislav-dobuzhinsky/the-blacksmith-s-courtyard-1910,1910,,1910,https://uploads4.wikiart.org/images/mstislav-dobuzhinsky/the-blacksmith-s-courtyard-1910.jpg,Expressionism,sketch and study,yards|Ruins,,ink|gouache|watercolor|paper,,,
https://www.wikiart.org/en/francis-davis-millet/lacing-up,,,,https://uploads2.wikiart.org/00323/images/francis-davis-millet/francis-davis-millet-lacing-up.jpg!Large.jpg,Academicism,genre painting,,,watercolor,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-80,,,,https://uploads1.wikiart.org/images/zdislav-beksinski/untitled-594.jpg!Large.jpg,Surrealism,symbolic painting,allegories-and-symbols|boats-and-ships,,,,,
https://www.wikiart.org/en/alfred-dehodencq/las-hijas-del-duque-de-montpensier,1863,,1863,https://uploads3.wikiart.org/00366/images/alfred-dehodencq/las-hijas-del-duque-de-montpensier-museo-del-romanticismo-de-madrid.jpg!Large.jpg,Romanticism,portrait,fashion|children portraits|group-portraits,,canvas|oil,"Museum of Romanticism, Madrid, Spain",,Paintings
